type,name,lat,lon,lid,total_hs_area
Hydrostations,NSHNBTNA03,41.39,-95.4609,173560,762724
Hydrostations,NSHNBTNA01,40.878,-95.4991,94615,677406
Hydrostations,RACCOON01,42.0463,-94.4752,280120,486330
Hydrostations,RACCOON03,42.649,-95.1096,374126,202846
Hydrostations,MDDLCDR03,42.2897,-91.9295,317453,892554
Hydrostations,UPPRIOWA02,43.350263,-91.531616,478196,601710
Hydrostations,MDDLCDR01,42.3088,-92.7717,320691,446111
Hydrostations,UPPRIOWA01,43.3279,-91.9569,474443,263352
Hydrostations,ENGLSH01,41.4831,-91.968,191960,968139
Hydrostations,MDDLCDR02,42.1941,-92.3553,304051,1110930
Hydrostations,KNTPRK01,41.7247,-91.7232,227563,810358
Hydrostations,NSHNBTNA02,41.0601,-95.4195,123300,298826
Hydrostations,RACCOON02,42.2343,-94.8035,307815,548703
Hydrostations,CDRCRKWMA01,40.9529,-93.082972,104894,741768
Hydrostations,UPPRWAPSI02,42.5224,-92.0764,353477,368421
Hydrostations,RACCOON04,42.902663,-94.884417,413296,391426
Hydrostations,CCO02,41.7416,-91.9433,229783,218605
Hydrostations,NSHNBTNA05,41.6941,-94.9242,222613,553307
Hydrostations,UPPRWAPSI01,42.8011,-92.2503,397547,467947
Hydrostations,ENGLSH02,41.699,-92.6293,223507,733431
IFC,Beaver1,43.0738,-92.5287,445241,1259330
IFC,Beaver2,43.1339,-92.5452,447106,603877
IFC,Beaver3,43.1639,-92.5774,451674,176038
IFC,FB01,43.370525,-92.369056,481125,363421
IFC,FB02,43.226887,-92.188405,461166,715998
IFC,FB03,43.161869,-91.866715,451202,176050
IFC,NF01,42.297814,-93.520648,318714,50993.6
IFC,NF02,42.304842,-93.483636,319847,191206
IFC,NF03,42.3989,-93.444261,339005,929144
IFC,NF04,42.637194,-93.341182,371595,342382
IFC,NF05,42.451299,-93.232552,343727,813924
IFC,NRG06,41.981841,-93.687832,268702,243403
IFC,Otter1,42.925591,-91.672405,415824,214589
IFC,Otter2,42.979067,-91.787739,424317,189181
IFC,Otter3,42.9213,-91.753,415473,1110790
IFC,Otter4,42.9205,-91.8147,414692,479709
IFC,Otter5,42.9491,-91.6403,418193,113562
IFC,SChequest1,40.7737,-92.194,79517,391415
IFC,SChequest2,40.7769,-92.2677,79991,391400
IFC,SChequest3,40.8006,-92.3319,83395,391275
IFC,TU02,43.32807,-92.217687,472713,852838
IFC,TU03,43.226833,-92.298218,460669,590358
IFC,TU05,43.185391,-91.87743,455499,917579
IFC,TU06,43.103104,-91.754965,446979,427963
IFC,TU07,43.123193,-92.146675,446317,666843
IFC,TU08,43.042271,-91.963047,434924,113393
IFC,TU12,42.814089,-91.668228,395043,265547
IFC,TU13,43.052496,-91.518853,435598,188946
IFC,TU14,42.891549,-91.5669,411143,227321
IFC,TU16,42.77561,-91.45339,393780,341610
IFC,TU17,42.717475,-91.189949,384986,519220
IFC,TU18,42.644186,-91.384016,373012,228230
IFC,TU19,42.978572,-91.313355,424173,1235980
IFC,TU20,42.917816,-91.942776,414977,1641090
IFC,Walnut01,41.54809,-93.273393,198657,386908
IFC,Walnut02,41.556064,-93.249822,199583,232114
IFC,Walnut03,41.538947,-93.274259,196290,451468
ARS,ARS16070002,42.4693,-93.56545,346339,1156980
ARS,ARS16070003,42.45296,-93.56797,346342,228913
ARS,ARS16070004,42.54459,-93.52527,357546,825448
ARS,ARS16070005,42.42857,-93.52158,339386,661570
ARS,ARS16070006,42.3896,-93.50013,330347,1056490
ARS,ARS16070007,42.51501,-93.47271,351619,571768
ARS,ARS16070008,42.48463,-93.44149,347771,533881
ARS,ARS16070009,42.44556,-93.44405,342170,1627950
ARS,ARS16070010,42.37937,-93.40293,335581,560202
ARS,ARS16070011,42.42975,-93.36596,338860,636137
ARS,ARS16070012,42.3414,-93.33422,328200,1401370
ARS,ARS16070013,42.40318,-93.30971,355407,661774
ARS,ARS16070014,42.32831,-93.25486,323144,203879
ARS,ARS16070015,42.42034,-93.22077,337574,661662
